; << CSV SPICE Simulation Log >>
; Additional parameters :
; Temperature(TEMP) = 2.50000000e+001
; Temperature(TNOM) = 2.50000000e+001
; Local inaccuracy = 9.99999700e-003
; reltol = 1.00000000e-003
; Acceleration level = without acceleration

TIME;'v(1)';'v(2)';'v(3)';
0;0;-nan(ind);-nan(ind);
1e-09;0;-nan(ind);-nan(ind);
2e-09;0;-nan(ind);-nan(ind);
3e-09;0;-nan(ind);-nan(ind);
4e-09;0;-nan(ind);-nan(ind);
5e-09;0;-nan(ind);-nan(ind);
6e-09;0;-nan(ind);-nan(ind);
7e-09;0;-nan(ind);-nan(ind);
8e-09;0;-nan(ind);-nan(ind);
9e-09;0;-nan(ind);-nan(ind);
1e-08;1.65436e-15;-nan(ind);-nan(ind);
1.1e-08;1;-nan(ind);-nan(ind);
1.2e-08;2;-nan(ind);-nan(ind);
1.3e-08;3;-nan(ind);-nan(ind);
1.4e-08;4;-nan(ind);-nan(ind);
1.5e-08;5;-nan(ind);-nan(ind);
1.6e-08;5;-nan(ind);-nan(ind);
1.7e-08;5;-nan(ind);-nan(ind);
1.8e-08;5;-nan(ind);-nan(ind);
1.9e-08;5;-nan(ind);-nan(ind);
2e-08;5;-nan(ind);-nan(ind);
2.1e-08;5;-nan(ind);-nan(ind);
2.2e-08;5;-nan(ind);-nan(ind);
2.3e-08;5;-nan(ind);-nan(ind);
2.4e-08;5;-nan(ind);-nan(ind);
2.5e-08;5;-nan(ind);-nan(ind);
2.6e-08;5;-nan(ind);-nan(ind);
2.7e-08;5;-nan(ind);-nan(ind);
2.8e-08;5;-nan(ind);-nan(ind);
2.9e-08;5;-nan(ind);-nan(ind);
3e-08;5;-nan(ind);-nan(ind);
3.1e-08;5;-nan(ind);-nan(ind);
3.2e-08;5;-nan(ind);-nan(ind);
3.3e-08;5;-nan(ind);-nan(ind);
3.4e-08;5;-nan(ind);-nan(ind);
3.5e-08;5;-nan(ind);-nan(ind);
3.6e-08;5;-nan(ind);-nan(ind);
3.7e-08;5;-nan(ind);-nan(ind);
3.8e-08;5;-nan(ind);-nan(ind);
3.9e-08;5;-nan(ind);-nan(ind);
4e-08;5;-nan(ind);-nan(ind);
4.1e-08;5;-nan(ind);-nan(ind);
4.2e-08;5;-nan(ind);-nan(ind);
4.3e-08;5;-nan(ind);-nan(ind);
4.4e-08;5;-nan(ind);-nan(ind);
4.5e-08;5;-nan(ind);-nan(ind);
4.6e-08;5;-nan(ind);-nan(ind);
4.7e-08;5;-nan(ind);-nan(ind);
4.8e-08;5;-nan(ind);-nan(ind);
4.9e-08;5;-nan(ind);-nan(ind);
5e-08;5;-nan(ind);-nan(ind);
5.1e-08;5;-nan(ind);-nan(ind);
5.2e-08;5;-nan(ind);-nan(ind);
5.3e-08;5;-nan(ind);-nan(ind);
5.4e-08;5;-nan(ind);-nan(ind);
5.5e-08;5;-nan(ind);-nan(ind);
5.6e-08;5;-nan(ind);-nan(ind);
5.7e-08;5;-nan(ind);-nan(ind);
5.8e-08;5;-nan(ind);-nan(ind);
5.9e-08;5;-nan(ind);-nan(ind);
6e-08;5;-nan(ind);-nan(ind);
6.1e-08;5;-nan(ind);-nan(ind);
6.2e-08;5;-nan(ind);-nan(ind);
6.3e-08;5;-nan(ind);-nan(ind);
6.4e-08;5;-nan(ind);-nan(ind);
6.5e-08;5;-nan(ind);-nan(ind);
6.6e-08;4;-nan(ind);-nan(ind);
6.7e-08;3;-nan(ind);-nan(ind);
6.8e-08;2;-nan(ind);-nan(ind);
6.9e-08;1;-nan(ind);-nan(ind);
7e-08;0;-nan(ind);-nan(ind);
7.1e-08;0;-nan(ind);-nan(ind);
7.2e-08;0;-nan(ind);-nan(ind);
7.3e-08;0;-nan(ind);-nan(ind);
7.4e-08;0;-nan(ind);-nan(ind);
7.5e-08;0;-nan(ind);-nan(ind);
7.6e-08;0;-nan(ind);-nan(ind);
7.7e-08;0;-nan(ind);-nan(ind);
7.8e-08;0;-nan(ind);-nan(ind);
7.9e-08;0;-nan(ind);-nan(ind);
8e-08;0;-nan(ind);-nan(ind);
8.1e-08;0;-nan(ind);-nan(ind);
8.2e-08;0;-nan(ind);-nan(ind);
8.3e-08;0;-nan(ind);-nan(ind);
8.4e-08;0;-nan(ind);-nan(ind);
8.5e-08;0;-nan(ind);-nan(ind);
8.6e-08;0;-nan(ind);-nan(ind);
8.7e-08;0;-nan(ind);-nan(ind);
8.8e-08;0;-nan(ind);-nan(ind);
8.9e-08;0;-nan(ind);-nan(ind);
9e-08;0;-nan(ind);-nan(ind);
9.1e-08;0;-nan(ind);-nan(ind);
9.2e-08;0;-nan(ind);-nan(ind);
9.3e-08;0;-nan(ind);-nan(ind);
9.4e-08;0;-nan(ind);-nan(ind);
9.5e-08;0;-nan(ind);-nan(ind);
9.6e-08;0;-nan(ind);-nan(ind);
9.7e-08;0;-nan(ind);-nan(ind);
9.8e-08;0;-nan(ind);-nan(ind);
9.9e-08;0;-nan(ind);-nan(ind);
1e-07;0;-nan(ind);-nan(ind);
