; << CSV SPICE Simulation Log >>
; Additional parameters :
; Temperature(TEMP) = 2.50000000e+001
; Temperature(TNOM) = 2.50000000e+001
; Local inaccuracy = 9.99999700e-003
; reltol = 1.00000000e-003
; Acceleration level = without acceleration

TIME;'v(1)';'v(2)';
0;0;0;
1e-09;0;0;
2e-09;0;0;
3e-09;0;0;
4e-09;0;0;
5e-09;0;0;
6e-09;0;0;
7e-09;0;0;
8e-09;0;0;
9e-09;0;0;
1e-08;1.65436e-15;8.27181e-16;
1.1e-08;1;0.5;
1.2e-08;2;1;
1.3e-08;3;1.5;
1.4e-08;4;2;
1.5e-08;5;2.5;
1.6e-08;5;2.5;
1.7e-08;5;2.5;
1.8e-08;5;2.5;
1.9e-08;5;2.5;
2e-08;5;2.5;
2.1e-08;5;2.5;
2.2e-08;5;2.5;
2.3e-08;5;2.5;
2.4e-08;5;2.5;
2.5e-08;5;2.5;
2.6e-08;5;2.5;
2.7e-08;5;2.5;
2.8e-08;5;2.5;
2.9e-08;5;2.5;
3e-08;5;2.5;
3.1e-08;5;2.5;
3.2e-08;5;2.5;
3.3e-08;5;2.5;
3.4e-08;5;2.5;
3.5e-08;5;2.5;
3.6e-08;5;2.5;
3.7e-08;5;2.5;
3.8e-08;5;2.5;
3.9e-08;5;2.5;
4e-08;5;2.5;
4.1e-08;5;2.5;
4.2e-08;5;2.5;
4.3e-08;5;2.5;
4.4e-08;5;2.5;
4.5e-08;5;2.5;
4.6e-08;5;2.5;
4.7e-08;5;2.5;
4.8e-08;5;2.5;
4.9e-08;5;2.5;
5e-08;5;2.5;
5.1e-08;5;2.5;
5.2e-08;5;2.5;
5.3e-08;5;2.5;
5.4e-08;5;2.5;
5.5e-08;5;2.5;
5.6e-08;5;2.5;
5.7e-08;5;2.5;
5.8e-08;5;2.5;
5.9e-08;5;2.5;
6e-08;5;2.5;
6.1e-08;5;2.5;
6.2e-08;5;2.5;
6.3e-08;5;2.5;
6.4e-08;5;2.5;
6.5e-08;5;2.5;
6.6e-08;4;2;
6.7e-08;3;1.5;
6.8e-08;2;1;
6.9e-08;1;0.5;
7e-08;0;0;
7.1e-08;0;0;
7.2e-08;0;0;
7.3e-08;0;0;
7.4e-08;0;0;
7.5e-08;0;0;
7.6e-08;0;0;
7.7e-08;0;0;
7.8e-08;0;0;
7.9e-08;0;0;
8e-08;0;0;
8.1e-08;0;0;
8.2e-08;0;0;
8.3e-08;0;0;
8.4e-08;0;0;
8.5e-08;0;0;
8.6e-08;0;0;
8.7e-08;0;0;
8.8e-08;0;0;
8.9e-08;0;0;
9e-08;0;0;
9.1e-08;0;0;
9.2e-08;0;0;
9.3e-08;0;0;
9.4e-08;0;0;
9.5e-08;0;0;
9.6e-08;0;0;
9.7e-08;0;0;
9.8e-08;0;0;
9.9e-08;0;0;
1e-07;0;0;
