; Additional parameters:
; Temperature (TEMP) =   2.50000000e+001
; Temperature (TNOM) =   2.50000000e+001
; Local inaccuracy =   9.99999700e-003
; reltol =   1.00000000e-003
; Acceleration level = without acceleration

TIME     'v(1)'     'v(2)' 
  0.00000000e+000  0.00000000e+000  0.00000000e+000  
  1.52743515e-011  1.52743515e-002  2.29795831e-004  
  2.57530306e-011  2.57530306e-002  4.94472161e-004  
  4.67103889e-011  4.67103889e-002  1.23566355e-003  
  8.09009060e-011  8.09009060e-002  3.33900646e-003  
  1.17554336e-010  1.17554336e-001  6.79040035e-003  
  1.90861196e-010  1.90861196e-001  1.72150069e-002  
  3.10616449e-010  3.10616449e-001  4.36007925e-002  
  4.59233742e-010  4.59233742e-001  9.08187815e-002  
  6.42112260e-010  6.42112260e-001  1.67870672e-001  
  8.56920001e-010  8.56920001e-001  2.80694864e-001  
  1.11123152e-009  1.11123152e+000  4.39393309e-001  
  1.40938795e-009  1.40938795e+000  6.52400137e-001  
  1.76131693e-009  1.76131693e+000  9.31603254e-001  
  2.17853758e-009  2.17853758e+000  1.29003989e+000  
  2.67942955e-009  2.67942955e+000  1.74626731e+000  
  3.29032187e-009  3.29032187e+000  2.32588245e+000  
  4.05295969e-009  4.05295969e+000  3.06888698e+000  
  5.00000000e-009  5.00000000e+000  4.00569072e+000  
  5.26339077e-009  5.00000000e+000  4.21298358e+000  
  5.77612038e-009  5.00000000e+000  4.53416945e+000  
  6.57958721e-009  5.00000000e+000  4.80118127e+000  
  7.16140778e-009  5.00000000e+000  4.89079000e+000  
  7.78335800e-009  5.00000000e+000  4.94260119e+000  
  8.48432559e-009  5.00000000e+000  4.97239400e+000  
  9.42024258e-009  5.00000000e+000  4.98999458e+000  
  1.06036458e-008  5.00000000e+000  4.99743344e+000  
  1.21846487e-008  5.00000000e+000  4.99969970e+000  
  1.41846487e-008  5.00000000e+000  5.00000000e+000  
  1.61846487e-008  5.00000000e+000  5.00000000e+000  
  1.81846487e-008  5.00000000e+000  5.00000000e+000  
  2.01846487e-008  5.00000000e+000  5.00000000e+000  
  2.21846487e-008  5.00000000e+000  5.00000000e+000  
  2.50000000e-008  5.00000000e+000  5.00000000e+000  
  2.54010886e-008  4.59891136e+000  4.88518064e+000  
  2.62032659e-008  3.79673408e+000  4.49164172e+000  
  2.70453742e-008  2.95462576e+000  3.83032934e+000  
  2.76160234e-008  2.38397659e+000  3.31486440e+000  
  2.82685572e-008  1.73144282e+000  2.69633437e+000  
  2.90762732e-008  9.23726758e-001  1.90881811e+000  
  3.00000000e-008  0.00000000e+000  9.94511876e-001  
  3.02635333e-008  0.00000000e+000  7.87087984e-001  
  3.07747519e-008  0.00000000e+000  4.66626796e-001  
  3.16016191e-008  0.00000000e+000  1.93647314e-001  
  3.21787540e-008  0.00000000e+000  1.06914855e-001  
